URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
http://192.168.0.13:1234/EndUserCatalog?wsdl,Complete,200,http,GET,text/xml;charset=utf-8,/127.0.0.1,192.168.0.13/192.168.0.13,,05 Apr 2015 17:36:38,05 Apr 2015 17:36:38,05 Apr 2015 17:36:38,05 Apr 2015 17:36:38,65,0,52,12,40.80529,48.170822,151,,122,2443,,
http://192.168.0.13:1234/EndUserCatalog?wsdl=1,Complete,200,http,GET,text/xml;charset=utf-8,/127.0.0.1,192.168.0.13/192.168.0.13,,05 Apr 2015 17:36:38,05 Apr 2015 17:36:38,05 Apr 2015 17:36:38,05 Apr 2015 17:36:38,8,0,7,0,524.6582,578.26447,153,,122,4023,,
http://192.168.0.13:1234/EndUserCatalog,Complete,200,http,POST,text/xml; charset=utf-8,/127.0.0.1,192.168.0.13/192.168.0.13,,05 Apr 2015 17:36:38,05 Apr 2015 17:36:38,05 Apr 2015 17:36:38,05 Apr 2015 17:36:38,192,0,4,186,6.5053306,138.42773,438,274,123,444,,
http://192.168.0.13:1234/EndUserCatalog,Complete,200,http,POST,text/xml; charset=utf-8,/127.0.0.1,192.168.0.13/192.168.0.13,,05 Apr 2015 17:36:38,05 Apr 2015 17:36:38,05 Apr 2015 17:36:39,05 Apr 2015 17:36:39,89,0,1,86,13.079353,376.9531,439,367,123,263,,
